"orden_recomendado","ticker","score","precio_actual","tendencia_corta","tendencia_media","tendencia_larga","rsi","acciones_recomendadas","inversion_total","potencial_ganancia","razones","riesgo","tiempo_recomendado_hold"
"1","ZM","120","82.27","ALCISTA","ALCISTA","ALCISTA","63.24","121","9954.67","1990.93","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (63.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (2.2x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"2","SUPV","120","15.68","ALCISTA","ALCISTA","ALCISTA","54.84","637","9988.16","1997.63","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (54.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (1.6x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"3","BBAR","120","21.82","ALCISTA","ALCISTA","ALCISTA","59.51","458","9993.56","1998.71","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (59.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (1.6x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"4","AXP","115","286.0","ALCISTA","ALCISTA","ALCISTA","54.2","34","9724.0","1944.8","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (54.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen moderado (1.3x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"5","DOCU","115","85.43","ALCISTA","ALCISTA","ALCISTA","51.52","117","9995.31","1999.06","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (51.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen moderado (1.3x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"6","SNOW","115","179.12","ALCISTA","ALCISTA","ALCISTA","65.19","55","9851.6","1970.32","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (65.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (2.7x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"7","LOMA","115","13.01","ALCISTA","ALCISTA","ALCISTA","67.29","768","9991.68","1998.34","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (67.3)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (2.0x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"8","QQQ","115","513.04","ALCISTA","ALCISTA","ALCISTA","63.82","19","9747.76","1949.55","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (63.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen fuerte (1.6x promedio)
Stochastic en sobrecompra, posible corrección
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"9","SLV","115","30.51","ALCISTA","ALCISTA","ALCISTA","58.25","327","9976.77","1995.35","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (58.3)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen moderado (1.3x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
"10","AMZN","110","201.12","ALCISTA","ALCISTA","ALCISTA","55.7","49","9854.88","1970.98","Fuerza de tendencia: 3/3 timeframes alcistas
RSI en zona neutral (55.7)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en zona neutral
Momentum positivo
Tendencia alcista confirmada en corto y medio plazo
Tendencia alcista en largo plazo","BAJO","LARGO"
